product_id,product_title,category_id,category_name,price,list_price,rating,review_count,has_rating,weighted_score,units_sold_last_month,is_best_seller,has_title,image_url,product_url,price_segment,popularity_tier,units_norm,wscore_norm,strategic_score,category_rank,is_top_10_category
B07VF4WTFV,"Auger with Gloves 25 Foot, Plumbing Snake Drain Auger Hair Clog Remover, Cleaner Heavy Duty Pipe for Bathtub Drain, Bathroom Sink, Kitchen and Shower,",151,Janitorial & Sanitation Supplies,26.99,29.99,4.0,0,True,0.0,3000,False,True,https://m.media-amazon.com/images/I/71BCZDssDIL._AC_UL320_.jpg,https://www.amazon.com/dp/B07VF4WTFV,premium,high,0.3,0.0,0.120000005,88,False
B09C7W2DJ1,"Halloween Articulated Fingers, 3D Printed Articulated Finger Extensions Fits All Finger Sizes, As Flexible as Your Own Fingers, Easy to Put on and Unload, The Best Halloween Gear (Black-Upgrade)",226,Puppets & Puppet Theaters,30.59,35.99,4.1,0,True,0.0,800,False,True,https://m.media-amazon.com/images/I/61-dGHA4vcL._AC_UL320_.jpg,https://www.amazon.com/dp/B09C7W2DJ1,premium,high,0.8,0.0,0.32,6,True
B0007QCO6A,"Driver 8 Rolling Backpack and Computer Bag, Black - Durable Laptop Backpack with Wheels, Tuckaway Straps, 15-inch Laptop Sleeve - Premium Bag Rucksack",109,Laptop Bags,142.0,0.0,4.6,0,True,0.0,200,False,True,https://m.media-amazon.com/images/I/51VrBK7LuqL._AC_UL320_.jpg,https://www.amazon.com/dp/B0007QCO6A,luxury,high,0.22222222,0.0,0.08888889,11,False
B003822IRA,"Casio MS-80B Standard Function Desktop Calculator,Black 147D×103W×28.8H mm",72,Office Electronics,7.09,8.99,4.7,11962,True,44.130997,8000,False,True,https://m.media-amazon.com/images/I/71Bq3CsON8L._AC_UL320_.jpg,https://www.amazon.com/dp/B003822IRA,budget,high,0.8888889,0.8633982,0.83042455,3,True
B001BXS0GQ,Women's Essex Avenue 25mm Watch,121,Women's Watches,45.38,66.0,4.6,3492,True,37.529175,100,False,True,https://m.media-amazon.com/images/I/81EIvU4vurL._AC_UL320_.jpg,https://www.amazon.com/dp/B001BXS0GQ,luxury,high,0.05,0.75767636,0.436722,87,False
B08S4CCJ31,"ZOBER Coat Rack Free Standing - Wooden Coat Tree W/ 6 Hooks - Coats, Purses, Hats - Adjustable Sizes, Easy Assembly - Black",166,Furniture,36.59,0.0,4.6,11817,True,43.135944,50,False,True,https://m.media-amazon.com/images/I/81V6MG8phML._AC_UL320_.jpg,https://www.amazon.com/dp/B08S4CCJ31,luxury,medium,0.007142857,0.8717999,0.48234707,4,True
B09Y693NJB,"Honeycomb Packing Paper,12"" W x 200' L Bubble Cushioning Wrap for Moving,Products & Gifts Wrapping Paper,Recyclable and Biodegradable Cushioning Packing Material with 20 Fragile Sticker Labels",160,Packaging & Shipping Supplies,17.99,0.0,4.6,0,True,0.0,700,False,True,https://m.media-amazon.com/images/I/81mj6JSyTZL._AC_UL320_.jpg,https://www.amazon.com/dp/B09Y693NJB,mid,high,0.07,0.0,0.028,70,False
B07GTHTF9X,"Kinetic Sand, The Original Moldable Sensory Play Sand Toys for Kids, Green, 2 lb. Resealable Bag, Ages 3+",219,Arts & Crafts Supplies,16.95,0.0,4.8,10813,True,44.585266,200,False,True,https://m.media-amazon.com/images/I/815ZDXPLeQL._AC_UL320_.jpg,https://www.amazon.com/dp/B07GTHTF9X,mid,high,0.02,0.87809783,0.4909538,93,False
B0126XBOWG,"Crest Pro-Health Advanced Mouthwash, Alcohol Free, Enamel Care, 1 L (33.8 fl oz)",126,Oral Care Products,6.97,0.0,4.6,0,True,0.0,5000,False,True,https://m.media-amazon.com/images/I/81L3j1XbRcL._AC_UL320_.jpg,https://www.amazon.com/dp/B0126XBOWG,budget,high,0.05,0.0,0.02,93,False
B09X24M4B8,"Oil Eater Drip & Spill Universal Pads - Absorbs Liquids | Soaks Oil, Grease, Coolant and Water-Based Fluids - Car, Truck, RV, Motorcycle and Tools - 6 Pack,Grey,15"" x 18"",AOA-BPL006-GREY",28,Motorcycle & Powersports,9.53,10.95,4.5,0,True,0.0,700,False,True,https://m.media-amazon.com/images/I/61jZ7Q1+1TL._AC_UL320_.jpg,https://www.amazon.com/dp/B09X24M4B8,budget,high,0.23333333,0.0,0.093333334,20,False
