product_id,product_title,category_id,category_name,price,list_price,rating,review_count,has_rating,weighted_score,units_sold_last_month,is_best_seller,has_title,image_url,product_url,price_segment,popularity_tier,llm_brand_guess,llm_product_type,llm_attributes_json,llm_keywords_json,llm_title_clean,llm_model,created_at_utc,llm_error
B0836SH17X,100Pcs Prepared Microscope Slides Set Professional Specimens for Kids Student Homeschool Use,150,Lab & Scientific Products,42.99,0.0,4.7,0,True,0.0,100,False,True,https://m.media-amazon.com/images/I/81Nstj3mfJL._AC_UL320_.jpg,https://www.amazon.com/dp/B0836SH17X,luxury,high,,,,,,,,
B09FK1VSGN,"Truck Air Duster Blow Gun Cleaning with 9 Meter Long Red Coil, Truck Air Blow Gun Kit - Truck Seat Air Blow Gun, Air Seat Blow Gun Kit with 2 Interchangeable Nozzle Tips",14,Automotive Paint & Paint Supplies,19.66,0.0,4.2,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/71uaJwdETJL._AC_UL320_.jpg,https://www.amazon.com/dp/B09FK1VSGN,mid,medium,,,,,,,,
B07Q3KRDQT,"Ablus 128 Pockets Mini Photo Album - Fits for Fujifilm Instax Mini 11 Mini 9 Mini 8 Mini 90 Mini 25, Polaroid Snap PIC-300, Kodak Mini 3-Inch Film(Black)",165,Home Décor Products,9.49,0.0,4.8,12587,True,45.314396,300,False,True,https://m.media-amazon.com/images/I/71TeEzToa0L._AC_UL320_.jpg,https://www.amazon.com/dp/B07Q3KRDQT,budget,high,,,,,,,,
B086YBKWLS,Crystal Body Chain Silver Bikini Bra Chain Suit Beach Waist Belly Chain Crop Top Underwear Body Jewelry Accessories for Women and Girls,123,Women's Jewelry,37.66,0.0,3.8,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/712Phdv2DCL._AC_UL320_.jpg,https://www.amazon.com/dp/B086YBKWLS,luxury,medium,,,,,,,,
B08D8RJ17C,"1 Pack Keyed Padlock Waterproof Solid Brass Lock, 2.6 Inch Padlock with Keys for Sheds, Storage Unit School Gym Locker, Fence, Toolbox, Hasp Storage",162,Industrial & Scientific,6.99,0.0,4.6,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/61KZ46wahAL._AC_UL320_.jpg,https://www.amazon.com/dp/B08D8RJ17C,budget,low,,,,,,,,
B07WPTDD4C,Girls Dress Shoes Mary Jane Flower Wedding Party Bridesmaids Shoes Glitter Princess Ballet Flats for Kid Toddler,97,Girls' Shoes,28.99,30.59,4.6,0,True,0.0,50,False,True,https://m.media-amazon.com/images/I/81FYToOjlqL._AC_UL320_.jpg,https://www.amazon.com/dp/B07WPTDD4C,premium,high,,,,,,,,
B0BGXK6Q3D,"Nail Art Kit with Nail Glitter & Nail Sticker, Teenitor Nail Art Brushes for Beginners Nail Dotting Tool with Nail Gems Nail Art Striping Tape",51,"Foot, Hand & Nail Care Products",8.99,0.0,4.5,179,True,23.368305,300,False,True,https://m.media-amazon.com/images/I/91LdfcpEJ1L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BGXK6Q3D,budget,high,,,,,,,,
B09LRV35QW,Duffle Bags Girls Women Gym Dance Bag Small Weekender Ovenight Carry On Tote with Shoe Compartment and Wet Pocket,101,Travel Tote Bags,24.99,0.0,4.7,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/71Tl3CMMl8L._AC_UL320_.jpg,https://www.amazon.com/dp/B09LRV35QW,premium,medium,,,,,,,,
B08YRGXD49,Domino Silicone Resin Molds Resin Casting Mold with Storage Box Domino Rack Mold Domino Tray Holder Silicone Epoxy Resin Casting Molds for DIY Dominoes Crafts Box Home Decoration,1,Beading & Jewelry Making,14.59,23.98,4.0,274,True,22.467085,0,False,True,https://m.media-amazon.com/images/I/71JcPflDs6L._AC_UL320_.jpg,https://www.amazon.com/dp/B08YRGXD49,mid,low,,,,,,,,
B0912HFPB6,Minecraft Mobs Alex Steve Creeper Zombie Fleece Pullover Hoodie Little Kid to Big Kid,43,Baby Boys' Clothing & Shoes,15.99,0.0,4.4,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/91rFqDCLowL._AC_UL320_.jpg,https://www.amazon.com/dp/B0912HFPB6,mid,low,,,,,,,,
B074PQMG32,Boys' Conjoined Forces Hoodie,84,Boys' Clothing,29.64,0.0,5.0,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/617i-9JFUbL._AC_UL320_.jpg,https://www.amazon.com/dp/B074PQMG32,premium,medium,,,,,,,,
B0BDNYHH8Y,"Sector 9 Longboard Shoots Stinger 8.7"" x 33.5"" Drop Through",231,"Tricycles, Scooters & Wagons",188.95,209.0,0.0,0,False,0.0,0,False,True,https://m.media-amazon.com/images/I/81Fk2GN0zUL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BDNYHH8Y,luxury,low,,,,,,,,
